# This file is automatically generated, do not edit.
#
# The format of the data in this table is as follows:
#
# char zh big5 hkscs zhuyin kanji hiragana katakana punct symbol cj3_codes cj5_codes frequency

シ 0 0 0 0 0 0 1 0 0 zjsi zjsi 0
ジ 0 0 0 0 0 0 1 0 0 zjsi zjsi 0
ス 0 0 0 0 0 0 1 0 0 zjsu zjsu 0
ズ 0 0 0 0 0 0 1 0 0 zjsu zjsu 0
セ 0 0 0 0 0 0 1 0 0 zjse zjse 0
ゼ 0 0 0 0 0 0 1 0 0 zjse zjse 0
ソ 0 0 0 0 0 0 1 0 0 zjso zjso 0
ゾ 0 0 0 0 0 0 1 0 0 zjso zjso 0
タ 0 0 0 0 0 0 1 0 0 zjta zjta 0
ダ 0 0 0 0 0 0 1 0 0 zjta zjta 0
チ 0 0 0 0 0 0 1 0 0 zjti zjti 0
ヂ 0 0 0 0 0 0 1 0 0 zjti zjti 0
ッ 0 0 0 0 0 0 1 0 0 zjtu zjtu 0
ツ 0 0 0 0 0 0 1 0 0 zjtu zjtu 0
ヅ 0 0 0 0 0 0 1 0 0 zjtu zjtu 0
テ 0 0 0 0 0 0 1 0 0 zjte zjte 0
デ 0 0 0 0 0 0 1 0 0 zjte zjte 0
ト 0 0 0 0 0 0 1 0 0 zjto zjto 0
ド 0 0 0 0 0 0 1 0 0 zjto zjto 0
ナ 0 0 0 0 0 0 1 0 0 zjna zjna 0
ニ 0 0 0 0 0 0 1 0 0 zjni zjni 0
ヌ 0 0 0 0 0 0 1 0 0 zjnu zjnu 0
ネ 0 0 0 0 0 0 1 0 0 zjne zjne 0
ノ 0 0 0 0 0 0 1 0 0 zjno zjno 0
ハ 0 0 0 0 0 0 1 0 0 zjha zjha 0
バ 0 0 0 0 0 0 1 0 0 zjha zjha 0
パ 0 0 0 0 0 0 1 0 0 zjha zjha 0
ヒ 0 0 0 0 0 0 1 0 0 zjhi zjhi 0
ビ 0 0 0 0 0 0 1 0 0 zjhi zjhi 0
ピ 0 0 0 0 0 0 1 0 0 zjhi zjhi 0
フ 0 0 0 0 0 0 1 0 0 zjhu zjhu 0
ブ 0 0 0 0 0 0 1 0 0 zjhu zjhu 0
